HoursPosted,timePosted 24hr,day posted,mediatype,sentiment,likes,isAd,comments,views,ratioLikesToHoursPosted,ratioVideoViewToHoursPosted,ratioCommentsToHoursPosted,noOfHashtags,noOfMentions,noOfFollowers,noOfFollowees
73,11,Monday,GraphImage,negative,9241,False,1092,0,126.58904109589041,0,14.95890410958904,4,0,2470992,0
74,10,Monday,GraphSidecar,positive,4618,True,133,0,62.4054054054054,0,1.7972972972972974,0,5,2470992,0
74,9,Monday,GraphImage,neutral,32853,False,3805,0,443.9594594594595,0,51.41891891891892,2,0,2470992,0
74,9,Monday,GraphImage,negative,21222,False,2730,0,286.7837837837838,0,36.891891891891895,1,0,2470992,0
75,8,Monday,GraphVideo,neutral,3250,True,164,53790,43.333333333333336,717.2,2.1866666666666665,0,3,2470992,0
75,8,Monday,GraphVideo,negative,12496,False,938,161268,166.61333333333334,2150.24,12.506666666666666,4,0,2470992,0
75,8,Monday,GraphVideo,neutral,19232,False,1530,230881,256.4266666666667,3078.4133333333334,20.4,2,0,2470992,0
77,7,Monday,GraphVideo,neutral,5628,False,481,56081,73.0909090909091,728.3246753246754,6.246753246753247,0,1,2470992,0
77,6,Monday,GraphImage,neutral,11254,False,1126,0,146.15584415584416,0,14.623376623376624,5,0,2470992,0
77,6,Monday,GraphImage,negative,10374,False,808,0,134.72727272727272,0,10.493506493506494,1,0,2470992,0
78,5,Monday,GraphVideo,positive,3391,False,227,65958,43.47435897435897,845.6153846153846,2.91025641025641,0,1,2470992,0
78,5,Monday,GraphImage,neutral,13489,False,1091,0,172.93589743589743,0,13.987179487179487,3,0,2470992,0
79,5,Monday,GraphImage,negative,11894,False,897,0,150.55696202531647,0,11.354430379746836,0,0,2470992,0
81,2,Monday,GraphImage,neutral,1431,True,0,0,17.666666666666668,0,0.0,2,1,2470992,0
87,21,Sunday,GraphSidecar,neutral,20145,False,968,0,231.55172413793105,0,11.126436781609195,30,12,2470992,0
87,20,Sunday,GraphImage,positive,26857,False,2164,0,308.7011494252874,0,24.873563218390803,0,0,2470992,0
87,20,Sunday,GraphSidecar,neutral,11980,False,709,0,137.70114942528735,0,8.149425287356323,3,0,2470992,0
88,19,Sunday,GraphVideo,positive,3743,True,144,72487,42.53409090909091,823.7159090909091,1.6363636363636365,8,1,2470992,0
88,19,Sunday,GraphImage,positive,27249,False,6364,0,309.64772727272725,0,72.31818181818181,1,0,2470992,0
89,19,Sunday,GraphVideo,positive,42904,False,5526,331000,482.0674157303371,3719.1011235955057,62.08988764044944,4,0,2470992,0
